W1,W2,W3,W4,A,Y
1,0.680496872,-0.443005893,-0.369332315,1,0.076577008
1,0.006966161,-2.07236018,-2.256185316,1,3.59E-05
1,0.269141939,-1.392125769,-1.421106883,1,0.005613424
0,0.82477859,1.724649312,1.27921551,1,5.97E-05
1,0.095466105,-2.038972365,-2.313238371,1,2.52E-05
0,0.772451564,-2.241561929,-1.28439078,1,7.21E-05
1,0.243432056,-1.038152786,-0.448182119,0,0.096502158
0,0.603291655,0.723785741,0.256816745,0,0.021713866
0,0.751989002,0.198691772,0.109798838,0,0.118480799
0,0.960231302,-0.502852856,-0.6602939,0,0.177667873
1,0.084454687,0.152154327,-0.264260111,0,0.096388359
1,0.367472269,-1.968987789,-0.630212154,0,0.087233019
1,0.849860166,-0.553260753,-1.186654397,0,0.022213168
1,0.246998198,-0.455160099,-0.210241432,0,0.069844259
1,0.863856793,0.176853215,0.372669459,0,0.064642469
1,0.939239424,-1.207514091,-1.734580415,1,0.002080595
1,0.358968056,0.68491784,0.250158187,0,0.059015847
0,0.361299131,1.509048769,1.779923131,1,0.000201999
0,0.866186178,0.871369654,0.733239572,0,0.020672805
1,0.146724736,-2.075389214,-1.386836971,1,0.00602235
0,0.863093052,-0.227480754,0.0503993,0,0.196093074
0,0.273570583,0.555222947,0.764497154,0,0.045545169
1,0.183444779,0.412929497,0.751422082,0,0.010938984
1,0.968985668,0.692892273,0.026574066,0,0.071739816
1,0.539511363,0.065110493,0.292344719,0,0.064716734
0,0.805323089,3.175586274,2.324353077,1,5.41E-12
1,0.765433036,1.549267301,1.8598995,0,1.86E-05
0,0.529426145,0.441089697,0.540862864,0,0.067752867
0,0.784253866,-1.242805966,-1.22402898,1,0.021859397
0,0.867473959,-0.476556151,0.283552522,1,0.077648788
1,0.048942566,0.258035303,0.032911135,0,0.072604069
1,0.802139826,-0.78028917,-0.578566409,1,0.060895567
0,0.914200709,0.573658575,0.741863248,0,0.047089672
0,0.409383696,-1.189790726,0.014916379,1,0.026348757
0,0.716257513,-0.318343413,-0.01781491,1,0.155865308
0,0.804869248,0.643994875,0.727026119,0,0.059488972
0,0.487067862,1.571132715,1.955546614,0,0.000261741
1,0.975732525,2.331206697,2.694986648,1,1.51E-09
0,0.810863994,-0.247751171,-0.439195006,1,0.140626713
0,0.022345964,0.579920066,0.350532565,1,0.020252852
1,0.850870741,-0.633977272,-1.166526226,0,0.030028813
1,0.762114583,-0.345756098,0.564226294,0,0.033364238
0,0.830902263,-0.571274033,-1.5884233,0,0.120355622
1,0.447755359,0.525379231,-0.395920269,0,0.104737247
1,0.817039755,-0.949573853,-0.594238131,0,0.102439761
0,0.342321195,-1.474123728,-1.479778251,1,0.011285576
0,0.819982439,-0.471268068,-0.108808868,0,0.198356534
1,0.967479499,-0.642310616,-0.452094956,1,0.098256495
0,0.418556439,-0.731662395,-0.223799418,0,0.098975009
1,0.903953699,-0.01609064,-0.162331124,0,0.165701012
1,0.602396929,-0.576764487,-1.084147207,0,0.022618046
1,0.556656638,0.904075689,0.948145983,1,0.004772905
1,0.276064496,0.283805261,0.606432207,0,0.020768606
0,0.86458604,-0.070312414,0.78032269,0,0.178951553
1,0.703097442,-0.064215576,0.336592727,0,0.064657523
0,0.456214381,-0.294286838,-0.514426696,0,0.12696837
1,0.965355387,0.938232355,0.239435687,0,0.091010546
1,0.203421958,-0.624291889,-0.233993625,1,0.069977
0,0.943768316,-2.116807173,-1.183412755,0,0.000285132
1,0.098900733,-0.586946946,-0.522786252,0,0.104941595
1,0.762653907,0.869341688,1.38204914,0,0.000453968
1,0.029575995,-0.445153344,-0.254379746,0,0.065329859
1,0.118206446,1.090668039,0.778996074,1,0.006915508
1,0.620096017,-0.215245948,-0.412349429,1,0.096354502
1,0.532540478,-0.393215691,0.032790299,1,0.05351579
0,0.085093428,-0.321674794,-0.190180537,0,0.143870209
1,0.125848908,-0.865245732,-0.724061336,1,0.057188605
1,0.823474532,0.499547165,0.32357682,0,0.071601057
0,0.57850088,-0.884754544,-0.163336859,0,0.094542955
0,0.371398036,0.859583652,2.141275793,0,0.014566277
0,0.64897478,-0.23969521,-0.10253874,0,0.221275357
0,0.704084409,-1.17216051,-0.991104895,1,0.032875022
1,0.70283218,-0.841573419,-0.840281318,0,0.075487011
0,0.721468213,-0.768184779,-0.336286989,0,0.1216071
0,0.480141782,0.432774962,0.701086536,0,0.069858971
1,0.426342155,-0.384118326,-0.074650924,0,0.079431815
1,0.496464255,-1.348418584,-0.850231587,1,0.04168682
0,0.500006309,0.173164928,-0.190167368,0,0.148309478
0,0.149946374,-1.213432241,-1.129916935,1,0.025686738
1,0.447729597,0.698303799,1.011319391,1,0.002070226
0,0.493897635,1.183891127,0.895527393,0,0.003854708
0,0.610329923,0.05125901,0.374029127,0,0.165367398
0,0.796568887,0.505413269,0.390735656,0,0.069646656
1,0.800053616,0.713265248,0.042301952,0,0.112135707
0,0.231699664,1.133743097,1.562310261,0,0.004600896
0,0.334800429,-0.585357215,-0.592316308,0,0.130624513
1,0.143418603,0.043433571,0.050097281,0,0.093451883
0,0.49102764,-0.156201736,0.858870119,0,0.163509592
1,0.183212661,-1.075119126,-1.115229204,0,0.017629332
1,0.219572193,0.650899207,0.250681927,0,0.062603768
1,0.204157773,0.854556232,1.960641531,1,2.96E-06
1,0.970244802,-1.154439904,-1.22817251,0,0.038056564
1,0.560052473,1.188815568,0.602919722,0,0.01988142
0,0.391197017,-0.185911646,-1.092712486,0,0.166521014
0,0.438666532,0.620999013,0.673628101,0,0.04110828
0,0.477639947,0.409457326,0.878950728,0,0.087362023
1,0.386017256,0.109168355,-0.963330258,0,0.045684975
1,0.515182888,1.024514361,1.617189354,1,4.27E-05
0,0.050155481,-1.623600029,-1.157337022,0,0.005801751
1,0.884542751,0.053595862,-0.656219408,0,0.103371039
